timestamp,value,Games,Wins
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Tetsuro,15,7
2025-09-16T00:00:00.000Z,Threes_Silver_Ability_TeamSpirit,221,96
2025-09-16T00:00:00.000Z,Threes_Silver_Ability_SuperSprint,366,177
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_CurveSpike,130,62
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Lev,5,4
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_SteelBlock,262,151
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Koshi,75,31
2025-09-16T00:00:00.000Z,Twos_Pro_Ability_ShieldBreaker,512,321
2025-09-16T00:00:00.000Z,Twos_Pro_Style_Rintaro,778,420
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Kenma,453,127
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Asahi,849,265
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Mikage,196,99
2025-09-16T00:00:00.000Z,Twos_Bronze_Ability_FourthTouch,1016,441
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Ohira,66,26
2025-09-16T00:00:00.000Z,Threes_Silver_Style_TeamCaptain,151,83
2025-09-16T00:00:00.000Z,Threes_Bronze_Ability_RedirectionJump,601,261
2025-09-16T00:00:00.000Z,Threes_Bronze_Ability_SuperSprint,502,175
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Mikage,142,91
2025-09-16T00:00:00.000Z,Threes_Gold_Style_TimeskipShoyo2,426,246
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Lev,189,46
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Jester,1141,562
2025-09-16T00:00:00.000Z,Twos_Diamond_Ability_SteelBlock,505,284
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Toru,342,123
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Tobio,243,106
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Tadashi,31,6
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Lev,50,7
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Hirugami,144,61
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Toru,163,74
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Yogan,311,163
2025-09-16T00:00:00.000Z,Twos_Diamond_Ability_CurveSpike,249,120
2025-09-16T00:00:00.000Z,Threes_Diamond_Style_Jester,37,24
2025-09-16T00:00:00.000Z,Threes_Diamond_Style_TimeskipShoyo2,186,95
2025-09-16T00:00:00.000Z,Threes_Diamond_Style_TimeskipTobio,25,15
2025-09-16T00:00:00.000Z,Threes_Diamond_Ability_MagneticPull,154,73
2025-09-16T00:00:00.000Z,Threes_Pro_Ability_BoomJump,24,17
2025-09-16T00:00:00.000Z,Threes_Pro_Style_Rintaro,69,59
2025-09-16T00:00:00.000Z,Threes_Diamond_Ability_RedirectionJump,120,60
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Kimiro,276,132
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Yogan,89,40
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_DivineStrength,54,37
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_SuperSprint,71,31
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Kei,17,7
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Koshi,209,68
2025-09-16T00:00:00.000Z,Twos_Gold_Ability_TeamSpirit,151,74
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Yu,316,99
2025-09-16T00:00:00.000Z,Threes_Bronze_Ability_FourthTouch,282,136
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Daichi,37,11
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Mikage,111,61
2025-09-16T00:00:00.000Z,Threes_Silver_Style_TimeskipTobio,72,41
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Kazana,193,100
2025-09-16T00:00:00.000Z,Threes_Silver_Ability_RollingThunder,176,97
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Twin2,138,69
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_Kotaru,119,70
2025-09-16T00:00:00.000Z,Twos_Pro_Style_TimeskipTobio2,147,78
2025-09-16T00:00:00.000Z,Threes_Pro_Ability_MagneticPull,54,38
2025-09-16T00:00:00.000Z,Threes_Pro_Style_TimeskipShoyo2,55,45
2025-09-16T00:00:00.000Z,Threes_Diamond_Ability_BoomJump,58,33
2025-09-16T00:00:00.000Z,Threes_Diamond_Ability_Moonball,6,1
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Twin1,114,70
2025-09-16T00:00:00.000Z,Threes_Bronze_Ability_DivineStrength,442,182
2025-09-16T00:00:00.000Z,Twos_Gold_Style_TeamCaptain,235,121
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_TimeskipToru,62,34
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Twin1,209,98
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Ohira,343,110
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_TeamCaptain,88,43
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Kotaru,468,236
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Kazana,376,199
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_Tobio,35,17
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_Kimiro,45,25
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_TimeskipShoyo,104,60
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Hajime,97,47
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_Kazana,104,55
2025-09-16T00:00:00.000Z,Twos_Pro_Ability_BoomJump,218,110
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Tobio,10,7
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Koshi,35,8
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Twin2,41,23
2025-09-16T00:00:00.000Z,Twos_Silver_Style_TimeskipShoyo,193,126
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Tadashi,56,37
2025-09-16T00:00:00.000Z,Threes_Diamond_Style_Twin2,12,3
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_TeamSpirit,8,2
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Mikage,241,163
2025-09-16T00:00:00.000Z,Twos_Silver_Style_TimeskipTobio,216,129
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Kenma,96,24
2025-09-16T00:00:00.000Z,Twos_Pro_Style_TimeskipShoyo2,603,356
2025-09-16T00:00:00.000Z,Twos_Pro_Ability_RedirectionJump,465,290
2025-09-16T00:00:00.000Z,Twos_Pro_Ability_MagneticPull,525,285
2025-09-16T00:00:00.000Z,Threes_Gold_Style_TimeskipToru,24,16
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Hajime,61,18
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Ryunosuke,17,4
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Kazana,67,35
2025-09-16T00:00:00.000Z,Twos_Pro_Ability_ZeroGravitySet,11,4
2025-09-16T00:00:00.000Z,Fours_Silver_Ability_MagneticPull,231,149
2025-09-16T00:00:00.000Z,Fours_Bronze_Ability_FourthTouch,71,28
2025-09-16T00:00:00.000Z,Fours_Bronze_Style_Yogan,69,28
2025-09-16T00:00:00.000Z,Fours_Bronze_Ability_BoomJump,208,82
2025-09-16T00:00:00.000Z,Fours_Bronze_Style_TimeskipTobio2,273,112
2025-09-16T00:00:00.000Z,Fours_Bronze_Ability_ZeroGravitySet,262,82
2025-09-16T00:00:00.000Z,Fours_Bronze_Ability_MagneticPull,166,76
2025-09-16T00:00:00.000Z,Fours_Bronze_Style_Jester,191,86
2025-09-16T00:00:00.000Z,Fours_Bronze_Ability_RedirectionJump,124,48
